category_id,category,count,corr,kl(attn||gt),js,emd_approx,pred_cx,pred_cy,pred_w,pred_h
59,pizza,100,0.0324428528547287,9.883822441101074,0.42883025109767914,2.2532652162254014,0.27872031927108765,0.6727319955825806,0.1127760112285614,0.14793504774570465
62,chair,100,0.03151861950755119,8.345617294311523,0.44139397144317627,0.706185330621497,0.24796181917190552,0.6852407455444336,0.08552326261997223,0.08727364242076874
35,skis,100,0.0243866927921772,10.403665542602539,0.49397119879722595,4.753596366833408,0.3629249632358551,0.7111003994941711,0.12313465029001236,0.12229616194963455
40,baseball glove,100,0.0235393438488245,8.856230735778809,0.4584604799747467,2.031609393867456,0.31658998131752014,0.6352571845054626,0.05081024393439293,0.08924783766269684
61,cake,100,0.019276930019259453,10.818207740783691,0.49477992951869965,3.4026951739974245,0.3342917263507843,0.7320661544799805,0.1492735892534256,0.27705833315849304
58,hot dog,100,0.017867766320705414,9.99824047088623,0.4530267119407654,2.7313279536399495,0.3766902983188629,0.5643059015274048,0.09126602858304977,0.10965422540903091
81,sink,100,0.0176364928483963,9.43516731262207,0.42759063839912415,2.3701950878357665,0.35625699162483215,0.7424678802490234,0.14836040139198303,0.12276998907327652
4,motorcycle,100,0.017559824511408806,9.726327896118164,0.4719374030828476,4.262298011749306,0.417806476354599,0.6871575117111206,0.2264637053012848,0.39827507734298706
1,person,100,0.014281168580055237,8.989057540893555,0.44427400827407837,0.9858086241197942,0.45610731840133667,0.6975207924842834,0.10998443514108658,0.186414435505867
27,backpack,100,0.01064637303352356,9.434112548828125,0.4241572916507721,0.8948235164650226,0.28334277868270874,0.5982241034507751,0.059852197766304016,0.1045515164732933
47,cup,100,0.010029266588389874,8.82663345336914,0.3802783787250519,1.0809866246804818,0.27483803033828735,0.49696433544158936,0.08255791664123535,0.13362446427345276
55,orange,100,0.008722696453332901,9.319526672363281,0.42115171253681183,1.4705320050696327,0.5520493388175964,0.5382845997810364,0.08620152622461319,0.13713885843753815
32,tie,100,0.008042803034186363,9.232044219970703,0.4329933524131775,0.4762633180288763,0.5926593542098999,0.7006771564483643,0.08868321031332016,0.19325628876686096
53,apple,100,0.007727558258920908,9.3726806640625,0.42167069017887115,1.7988462613827516,0.34795713424682617,0.5306971073150635,0.07824445515871048,0.09734915941953659
76,keyboard,100,0.0026238691061735153,10.31010913848877,0.4523917883634567,2.867108012692509,0.5873575806617737,0.7329463958740234,0.3487200140953064,0.23686516284942627
72,tv,100,0.00031321795540861785,10.035404205322266,0.46968138217926025,1.357532381426306,0.2571224272251129,0.4902507960796356,0.1332809031009674,0.24080516397953033
17,cat,100,-0.001537815434858203,11.169412612915039,0.498128205537796,1.614761851685865,0.3604086637496948,0.6270405054092407,0.27364206314086914,0.29836368560791016
37,sports ball,100,-0.003171701217070222,9.625433921813965,0.4068058282136917,2.9425785102329427,0.4681810736656189,0.6956869959831238,0.06667087227106094,0.0687822550535202
3,car,100,-0.0034082704223692417,9.503165245056152,0.45481355488300323,2.2373393131691617,0.28812679648399353,0.6207364201545715,0.08619315177202225,0.06478166580200195
15,bench,100,-0.008373752236366272,9.851577758789062,0.4252936691045761,2.2195043019301526,0.2886257469654083,0.5943431258201599,0.1847541779279709,0.19917923212051392
2,bicycle,100,-0.010379863902926445,9.790702819824219,0.45145532488822937,3.57290329782148,0.29601600766181946,0.6084076762199402,0.10863450914621353,0.1621376872062683
79,oven,100,-0.01233409158885479,11.181623458862305,0.4975612610578537,2.917623504467354,0.29837527871131897,0.7291481494903564,0.25477704405784607,0.3664448857307434
50,spoon,100,-0.012715405784547329,9.44784927368164,0.4493245631456375,2.2073990344906824,0.3214385509490967,0.6714373826980591,0.06592784076929092,0.1211686059832573
77,cell phone,100,-0.012965201400220394,9.82512092590332,0.4379337430000305,0.9771356427023798,0.3069380819797516,0.7087655663490295,0.07390014082193375,0.08019810914993286
22,elephant,100,-0.015491079539060593,10.935335159301758,0.5220313966274261,1.0312559076732866,0.22081834077835083,0.5663270354270935,0.1921367645263672,0.38536351919174194
87,scissors,100,-0.01875101774930954,10.207562446594238,0.45639967918395996,1.4072176388943454,0.41900545358657837,0.6199491620063782,0.32293736934661865,0.5996217131614685
39,baseball bat,100,-0.01938222534954548,9.89027214050293,0.44901685416698456,1.551545635487264,0.6386576294898987,0.6548560261726379,0.21644464135169983,0.26922282576560974
85,clock,100,-0.02127774991095066,10.322405815124512,0.4887210428714752,1.3461291174215233,0.5538710355758667,0.6132192611694336,0.20868229866027832,0.2768954038619995
48,fork,100,-0.02148786373436451,9.301937103271484,0.4130626618862152,2.6985309172884544,0.2695672810077667,0.6268255114555359,0.17538104951381683,0.42985981702804565
49,knife,100,-0.022213270887732506,9.44618034362793,0.4251149743795395,1.1747530342099821,0.5185031890869141,0.6748387217521667,0.0966503694653511,0.14434558153152466
23,bear,100,-0.023301731795072556,11.7645902633667,0.5109114795923233,1.9919168840187813,0.4110761880874634,0.6831834316253662,0.28605037927627563,0.32069987058639526
31,handbag,100,-0.025075290352106094,9.69774055480957,0.44856947660446167,2.7084755289705145,0.4630361795425415,0.6583876609802246,0.07072199881076813,0.08891750872135162
44,bottle,100,-0.027331773191690445,9.337135314941406,0.452625572681427,0.7604232736839897,0.2283729463815689,0.6289928555488586,0.06312158703804016,0.1281270980834961
41,skateboard,100,-0.03109312243759632,10.769935607910156,0.4656929522752762,3.8820971753522135,0.3958328366279602,0.6288598775863647,0.06858143210411072,0.07078589498996735
